Row Labels,Count of ACCIDENT_NO,year_of_manufacture
ALFA R,31,2000
AUDI  ,53,2000
B M W ,205,2000
B.M.W.,1,2000
FORD  ,1734,2000
HOLDEN,2542,2000
HONDA ,712,2000
HYNDAI,613,2000
HYUNDA,2,2000
ISUZU ,101,2000
JAGUAR,13,2000
JEEP  ,20,2000
LEXUS ,42,2000
MAZDA ,406,2000
MITSUB,1054,2000
SUZUKI,192,2000
TOYOTA,1938,2000
VOLVO ,78,2000
YAMAHA,154,2000
ALFA R,27,2001
AUDI  ,70,2001
B M W ,268,2001
FORD  ,1886,2001
HOLDEN,3027,2001
HONDA ,594,2001
HYNDAI,542,2001
HYUNDA,1,2001
ISUZU ,92,2001
JAGUAR,12,2001
JEEP  ,33,2001
LEXUS ,29,2001
MAZDA ,534,2001
MERCED,1,2001
MITSUB,1081,2001
SUZUKI,270,2001
TOYOTA,2010,2001
VOLVO ,107,2001
YAMAHA,218,2001
ALFA R,34,2002
AUDI  ,84,2002
B M W ,266,2002
FIAT  ,1,2002
FORD  ,1893,2002
HOLDEN,3001,2002
HONDA ,626,2002
HYNDAI,409,2002
HYUNDA,1,2002
ISUZU ,112,2002
JAGUAR,22,2002
JEEP  ,41,2002
LEXUS ,38,2002
MAZDA ,506,2002
MERCED,1,2002
MITSUB,923,2002
SUZUKI,234,2002
TOYOTA,2111,2002
VOLVO ,97,2002
YAMAHA,206,2002
ALFA R,27,2003
AUDI  ,89,2003
B M W ,255,2003
FIAT  ,2,2003
FORD  ,2006,2003
HOLDEN,2803,2003
HONDA ,785,2003
HYNDAI,418,2003
HYUNDA,1,2003
ISUZU ,115,2003
JAGUAR,26,2003
JEEP  ,42,2003
LEXUS ,46,2003
MAZDA ,772,2003
MERCED,1,2003
MITSUB,1025,2003
SUZUKI,257,2003
TOYOTA,2511,2003
VOLVO ,152,2003
YAMAHA,155,2003
ALFA R,24,2004
AUDI  ,65,2004
B M W ,274,2004
FIAT  ,1,2004
FORD  ,2166,2004
HOLDEN,2617,2004
HONDA ,943,2004
HYNDAI,500,2004
HYUNDA,2,2004
ISUZU ,129,2004
JAGUAR,7,2004
JEEP  ,49,2004
LEXUS ,70,2004
LOTUS ,1,2004
MAZDA ,758,2004
MERCED,1,2004
MITSUB,671,2004
SUZUKI,249,2004
TOYOTA,2607,2004
VOLVO ,116,2004
YAMAHA,219,2004
ALFA R,28,2005
AUDI  ,94,2005
B M W ,315,2005
FIAT  ,2,2005
FORD  ,2197,2005
HOLDEN,2669,2005
HONDA ,1254,2005
HYNDAI,587,2005
HYUNDA,6,2005
ISUZU ,153,2005
JAGUAR,14,2005
JEEP  ,55,2005
LEXUS ,90,2005
LOTUS ,1,2005
MAZDA ,993,2005
MITSUB,737,2005
