MANUFACTURE,Count,YEAR
B M W ,3,1980
FORD  ,48,1980
HOLDEN,92,1980
HONDA ,24,1980
MAZDA ,12,1980
MITSUBISHI,8,1980
NISSAN,5,1980
SUBARU,2,1980
TOYOTA,38,1980
VOLKSWAGON,3,1980
B M W ,11,1981
FORD  ,65,1981
HOLDEN,96,1981
HONDA ,30,1981
MAZDA ,31,1981
MITSUBISHI,25,1981
NISSAN,5,1981
TOYOTA,58,1981
B M W ,7,1982
FORD  ,96,1982
HOLDEN,115,1982
HONDA ,18,1982
MAZDA ,27,1982
MITSUBISHI,33,1982
NISSAN,9,1982
SUBARU,3,1982
TOYOTA,88,1982
VOLKSWAGON,1,1982
B M W ,15,1983
FORD  ,115,1983
HOLDEN,113,1983
HONDA ,24,1983
MAZDA ,54,1983
MITSUBISHI,23,1983
NISSAN,26,1983
SUBARU,7,1983
TOYOTA,140,1983
VOLKSWAGON,1,1983
B M W ,17,1984
FORD  ,197,1984
HOLDEN,170,1984
HONDA ,37,1984
MAZDA ,73,1984
MITSUBISHI,54,1984
NISSAN,87,1984
SUBARU,5,1984
TOYOTA,271,1984
VOLKSWAGON,2,1984
B M W ,37,1985
FORD  ,294,1985
HOLDEN,232,1985
HONDA ,62,1985
MAZDA ,100,1985
MITSUBISHI,85,1985
NISSAN,80,1985
SUBARU,10,1985
TOYOTA,432,1985
B M W ,32,1986
FORD  ,337,1986
HOLDEN,331,1986
HONDA ,53,1986
HYNDAI,2,1986
MAZDA ,69,1986
MITSUBISHI,61,1986
NISSAN,118,1986
SUBARU,9,1986
TOYOTA,416,1986
VOLKSWAGON,1,1986
B M W ,19,1987
FORD  ,334,1987
HOLDEN,320,1987
HONDA ,64,1987
HYNDAI,6,1987
MAZDA ,50,1987
MITSUBISHI,87,1987
NISSAN,196,1987
SUBARU,11,1987
TOYOTA,343,1987
B M W ,24,1988
FORD  ,584,1988
HOLDEN,465,1988
HONDA ,286,1988
HYNDAI,9,1988
MAZDA ,110,1988
MITSUBISHI,142,1988
NISSAN,357,1988
SUBARU,15,1988
TOYOTA,560,1988
VOLKSWAGON,1,1988
B M W ,52,1989
FORD  ,703,1989
HOLDEN,621,1989
HONDA ,268,1989
HYNDAI,13,1989
MAZDA ,132,1989
MITSUBISHI,227,1989
NISSAN,448,1989
SUBARU,29,1989
TOYOTA,672,1989
VOLKSWAGON,6,1989
B M W ,51,1990
FORD  ,893,1990
