age_group,sex,count
13-16,F,285
13-16,M,664
17-20,F,11291
17-20,M,17246
21-24,F,13534
21-24,M,22195
25-28,F,11780
25-28,M,20270
29-32,F,10318
29-32,M,17638
33-36,F,9858
33-36,M,16107
37-40,F,9830
37-40,M,14964
41-44,F,9510
41-44,M,14269
45-48,F,8805
45-48,M,13755
49-52,F,7650
49-52,M,12374
53-56,F,6463
53-56,M,11028
57-60,F,5456
57-60,M,9403
61-64,F,4216
61-64,M,7621
65-68,F,3257
65-68,M,5545
69-72,F,2544
69-72,M,4100
73-76,F,1934
73-76,M,3285
77-80,F,1618
77-80,M,2639
81-84,F,1091
81-84,M,2023
85-88,F,677
85-88,M,1198
89-92,F,244
89-92,M,458
93-96,F,39
93-96,M,103
97-100,F,4
97-100,M,7
101-104,F,1
101-104,M,1
