time,state,car_sales
2012-01-01,NSW,24 004
2012-01-01,VIC,20 278
2012-01-01,QLD,15 732
2012-01-01,SA,4 622
2012-01-01,WA,9 014
2012-01-01,TAS,1 008
2012-01-01,NT,820
2012-01-01,ACT,1 305
2012-02-01,NSW,26 391
2012-02-01,VIC,23 270
2012-02-01,QLD,17 839
2012-02-01,SA,5 344
2012-02-01,WA,9 673
2012-02-01,TAS,1 148
2012-02-01,NT,776
2012-02-01,ACT,1 282
2012-03-01,NSW,30 209
2012-03-01,VIC,26 177
2012-03-01,QLD,20 718
2012-03-01,SA,6 037
2012-03-01,WA,10 644
2012-03-01,TAS,1 361
2012-03-01,NT,1 052
2012-03-01,ACT,1 418
2012-04-01,NSW,24 426
2012-04-01,VIC,20 785
2012-04-01,QLD,17 062
2012-04-01,SA,4 746
2012-04-01,WA,8 939
2012-04-01,TAS,1 072
2012-04-01,NT,863
2012-04-01,ACT,1 204
2012-05-01,NSW,29 811
2012-05-01,VIC,24 600
2012-05-01,QLD,20 933
2012-05-01,SA,5 689
2012-05-01,WA,11 025
2012-05-01,TAS,1 266
2012-05-01,NT,1 252
2012-05-01,ACT,1 493
2012-06-01,NSW,34 785
2012-06-01,VIC,28 662
2012-06-01,QLD,25 051
2012-06-01,SA,6 728
2012-06-01,WA,12 698
2012-06-01,TAS,1 443
2012-06-01,NT,1 357
2012-06-01,ACT,1 842
2012-07-01,NSW,26 594
2012-07-01,VIC,22 991
2012-07-01,QLD,18 234
2012-07-01,SA,5 298
2012-07-01,WA,9 968
2012-07-01,TAS,1 268
2012-07-01,NT,917
2012-07-01,ACT,1 371
2012-08-01,NSW,28 706
2012-08-01,VIC,24 696
2012-08-01,QLD,19 791
2012-08-01,SA,5 577
2012-08-01,WA,11 072
2012-08-01,TAS,1 365
2012-08-01,NT,898
2012-08-01,ACT,1 447
2012-09-01,NSW,28 854
2012-09-01,VIC,25 263
2012-09-01,QLD,19 579
2012-09-01,SA,5 821
2012-09-01,WA,11 054
2012-09-01,TAS,1 651
2012-09-01,NT,918
2012-09-01,ACT,1 487
2012-10-01,NSW,28 792
