date,count
1/11/2019,44
2/11/2019,43
3/11/2019,40
4/11/2019,44
5/11/2019,29
6/11/2019,27
7/11/2019,40
8/11/2019,56
9/11/2019,34
10/11/2019,34
11/11/2019,55
12/11/2019,54
13/11/2019,47
14/11/2019,40
15/11/2019,48
16/11/2019,34
17/11/2019,29
18/11/2019,56
19/11/2019,49
20/11/2019,64
21/11/2019,37
22/11/2019,57
23/11/2019,53
24/11/2019,46
25/11/2019,43
26/11/2019,45
27/11/2019,57
28/11/2019,46
29/11/2019,51
30/11/2019,52
1/12/2019,31
2/12/2019,36
3/12/2019,45
4/12/2019,55
5/12/2019,51
6/12/2019,44
7/12/2019,39
8/12/2019,46
9/12/2019,30
10/12/2019,50
11/12/2019,48
12/12/2019,46
13/12/2019,61
14/12/2019,38
15/12/2019,22
16/12/2019,39
17/12/2019,46
18/12/2019,31
19/12/2019,60
20/12/2019,52
21/12/2019,39
22/12/2019,22
23/12/2019,37
24/12/2019,45
25/12/2019,26
26/12/2019,22
27/12/2019,27
28/12/2019,24
29/12/2019,29
30/12/2019,26
31/12/2019,50
2/01/2020,32
3/01/2020,39
4/01/2020,33
5/01/2020,25
6/01/2020,36
7/01/2020,32
8/01/2020,27
9/01/2020,30
10/01/2020,25
11/01/2020,43
12/01/2020,22
13/01/2020,25
14/01/2020,32
15/01/2020,49
16/01/2020,37
17/01/2020,48
18/01/2020,35
19/01/2020,31
20/01/2020,33
21/01/2020,23
22/01/2020,36
23/01/2020,39
24/01/2020,53
25/01/2020,38
26/01/2020,42
27/01/2020,27
28/01/2020,28
29/01/2020,39
30/01/2020,44
31/01/2020,48
2/01/2020,45
1/02/2020,42
2/02/2020,37
3/02/2020,35
4/02/2020,52
5/02/2020,36
6/02/2020,48
7/02/2020,42
8/02/2020,30
9/02/2020,23
10/02/2020,46
11/02/2020,32
12/02/2020,41
13/02/2020,38
14/02/2020,58
15/02/2020,50
16/02/2020,39
17/02/2020,38
18/02/2020,39
19/02/2020,42
20/02/2020,43
21/02/2020,45
22/02/2020,41
23/02/2020,35
24/02/2020,26
25/02/2020,52
26/02/2020,39
27/02/2020,44
28/02/2020,37
29/02/2020,52
1/03/2020,39
2/03/2020,33
3/03/2020,30
4/03/2020,34
5/03/2020,49
6/03/2020,53
7/03/2020,39
8/03/2020,33
9/03/2020,29
10/03/2020,43
11/03/2020,43
12/03/2020,52
13/03/2020,33
14/03/2020,35
15/03/2020,36
16/03/2020,41
17/03/2020,58
18/03/2020,26
19/03/2020,26
20/03/2020,20
21/03/2020,31
22/03/2020,28
23/03/2020,24
24/03/2020,13
25/03/2020,24
26/03/2020,17
27/03/2020,31
28/03/2020,28
29/03/2020,21
30/03/2020,18
31/03/2020,25
1/04/2020,19
2/04/2020,22
3/04/2020,14
