date,count
2019-11-01,44
2019-11-02,43
2019-11-03,40
2019-11-04,44
2019-11-05,29
2019-11-06,27
2019-11-07,40
2019-11-08,56
2019-11-09,34
2019-11-10,34
2019-11-11,55
2019-11-12,54
2019-11-13,47
2019-11-14,40
2019-11-15,48
2019-11-16,34
2019-11-17,29
2019-11-18,56
2019-11-19,49
2019-11-20,64
2019-11-21,37
2019-11-22,57
2019-11-23,53
2019-11-24,46
2019-11-25,43
2019-11-26,45
2019-11-27,57
2019-11-28,46
2019-11-29,51
2019-11-30,52
2019-12-01,31
2019-12-02,36
2019-12-03,45
2019-12-04,55
2019-12-05,51
2019-12-06,44
2019-12-07,39
2019-12-08,46
2019-12-09,30
2019-12-10,50
2019-12-11,48
2019-12-12,46
2019-12-13,61
2019-12-14,38
2019-12-15,22
2019-12-16,39
2019-12-17,46
2019-12-18,31
2019-12-19,60
2019-12-20,52
2019-12-21,39
2019-12-22,22
2019-12-23,37
2019-12-24,45
2019-12-25,26
2019-12-26,22
2019-12-27,27
2019-12-28,24
2019-12-29,29
2019-12-30,26
2019-12-31,50
2020-01-01,0
2020-01-02,32
2020-01-03,39
2020-01-04,33
2020-01-05,25
2020-01-06,36
2020-01-07,32
2020-01-08,27
2020-01-09,30
2020-01-10,25
2020-01-11,43
2020-01-12,22
2020-01-13,25
2020-01-14,32
2020-01-15,49
2020-01-16,37
2020-01-17,48
2020-01-18,35
2020-01-19,31
2020-01-20,33
2020-01-21,23
2020-01-22,36
2020-01-23,39
2020-01-24,53
2020-01-25,38
2020-01-26,42
2020-01-27,27
2020-01-28,28
2020-01-29,39
2020-01-30,44
2020-01-31,48
2020-01-02,45
2020-02-01,42
2020-02-02,37
2020-02-03,35
2020-02-04,52
2020-02-05,36
2020-02-06,48
2020-02-07,42
2020-02-08,30
2020-02-09,23
2020-02-10,46
2020-02-11,32
2020-02-12,41
2020-02-13,38
2020-02-14,58
2020-02-15,50
2020-02-16,39
2020-02-17,38
2020-02-18,39
2020-02-19,42
2020-02-20,43
2020-02-21,45
2020-02-22,41
2020-02-23,35
2020-02-24,26
2020-02-25,52
2020-02-26,39
2020-02-27,44
2020-02-28,37
2020-02-29,52
2020-03-01,39
2020-03-02,33
2020-03-03,30
2020-03-04,34
2020-03-05,49
2020-03-06,53
2020-03-07,39
2020-03-08,33
2020-03-09,29
2020-03-10,43
2020-03-11,43
2020-03-12,52
2020-03-13,33
2020-03-14,35
2020-03-15,36
2020-03-16,41
2020-03-17,58
2020-03-18,26
2020-03-19,26
2020-03-20,20
2020-03-21,31
2020-03-22,28
2020-03-23,24
2020-03-24,13
2020-03-25,24
2020-03-26,17
2020-03-27,31
2020-03-28,28
2020-03-29,21
2020-03-30,18
2020-03-31,25
2020-04-01,19
2020-04-02,22
2020-04-03,14
2020-04-04,13
2020-04-05,19
2020-04-06,12
2020-04-07,20
2020-04-08,20
2020-04-09,27
2020-04-10,19
2020-04-11,14
2020-04-12,9
2020-04-13,7
2020-04-14,10
2020-04-15,14
2020-04-16,13
2020-04-17,7
2020-04-18,11
2020-04-19,19
2020-04-20,9
2020-04-21,20
2020-04-22,22
2020-04-23,25
2020-04-24,28
2020-04-25,15
2020-04-26,9
2020-04-27,20
2020-04-28,24
2020-04-29,17
2020-04-30,24
2020-05-01,23
2020-05-02,21
2020-05-03,19
2020-05-04,17
2020-05-05,24
2020-05-06,23
2020-05-07,16
2020-05-08,22
2020-05-09,22
2020-05-10,19
2020-05-11,18
2020-05-12,16
2020-05-13,24
2020-05-14,26
2020-05-15,31
2020-05-16,40
2020-05-17,24
2020-05-18,23
2020-05-19,15
2020-05-20,37
2020-05-21,25
2020-05-22,20
2020-05-23,27
2020-05-24,26
2020-05-25,30
2020-05-26,27
2020-05-27,28
2020-05-28,27
2020-05-29,34
2020-05-30,49
2020-05-31,24
2020-06-01,29
2020-06-02,15
2020-06-03,27
2020-06-04,42
2020-06-05,37
2020-06-06,30
2020-06-07,26
2020-06-08,23
2020-06-09,35
2020-06-10,35
2020-06-11,33
2020-06-12,23
2020-06-13,12
2020-06-14,3
2020-06-15,8
2020-06-16,5
2020-06-17,1
2020-06-18,8
2020-06-19,11
2020-06-20,10
2020-06-21,4
2020-06-22,6
2020-06-23,11
2020-06-24,3
2020-06-25,8
2020-06-26,8
2020-06-27,8
2020-06-28,9
2020-06-29,6
2020-06-30,3
2020-07-01,38
2020-07-02,25
2020-07-03,47
2020-07-04,26
2020-07-05,19
2020-07-06,26
2020-07-07,29
2020-07-08,31
2020-07-09,17
2020-07-10,19
2020-07-11,26
2020-07-12,14
2020-07-13,4
2020-07-14,6
2020-07-15,4
2020-07-16,8
2020-07-17,4
2020-07-18,4
2020-07-19,6
2020-07-20,7
2020-07-21,8
2020-07-22,9
2020-07-23,5
2020-07-24,6
2020-07-25,10
2020-07-26,3
2020-07-27,5
2020-07-28,4
2020-07-29,4
2020-07-30,8
2020-07-31,7
2020-08-01,28
2020-08-02,9
2020-08-03,10
2020-08-04,18
2020-08-05,10
2020-08-06,11
2020-08-07,14
2020-08-08,7
2020-08-09,5
2020-08-10,20
2020-08-11,11
2020-08-12,13
2020-08-13,11
2020-08-14,8
2020-08-15,6
2020-08-16,8
2020-08-17,12
2020-08-18,8
2020-08-19,9
2020-08-20,5
2020-08-21,10
2020-08-22,9
2020-08-23,4
2020-08-24,11
2020-08-25,7
2020-08-26,14
2020-08-27,14
2020-08-28,18
2020-08-29,12
2020-08-30,5
2020-08-31,8
2020-09-01,12
2020-09-02,6
2020-09-03,6
2020-09-04,7
2020-09-05,9
2020-09-06,1
2020-09-07,3
2020-09-08,2
2020-09-09,7
2020-09-10,4
2020-09-11,5
2020-09-12,8
2020-09-13,3
2020-09-14,7
2020-09-15,6
2020-09-16,1
2020-09-17,7
2020-09-18,7
2020-09-19,2
2020-09-20,11
2020-09-21,2
2020-09-22,8
2020-09-23,0
2020-09-24,5
