LGA,total cars,total households,average per household
Alpine (S),9175,4680,1.960470085
Ararat (RC),7984,3883,2.056142158
Ballarat (C),65523,34614,1.892962385
Banyule (C),77534,40745,1.902908332
Bass Coast (S),22079,12184,1.812130663
Baw Baw (S),34684,16412,2.113331709
Bayside (C),61668,32558,1.894096689
Benalla (RC),10040,5069,1.980666798
Boroondara (C),100529,54209,1.85447066
Brimbank (C),109775,54737,2.005499023
Buloke (S),4889,2221,2.201260693
Campaspe (S),26706,12670,2.107813733
Cardinia (S),63300,29359,2.156067986
Casey (C),184064,86656,2.124076809
Central Goldfields (S),9439,4838,1.951012815
Colac-Otway (S),14728,7341,2.006266176
Corangamite (S),12327,5551,2.220680958
Darebin (C),77401,45989,1.683032899
East Gippsland (S),31390,16102,1.949447274
Frankston (C),86665,45075,1.922684415
Gannawarra (S),8195,3838,2.135226681
Glen Eira (C),81518,46380,1.757611039
Glenelg (S),14469,7007,2.064935065
Golden Plains (S),17154,6911,2.482129938
Greater Bendigo (C),74958,37736,1.986379054
Greater Dandenong (C),81193,42297,1.919592406
Greater Geelong (C),150273,79060,1.900746269
Greater Shepparton (C),41546,20491,2.027524279
Hepburn (S),11601,5586,2.076799141
Hindmarsh (S),4719,2108,2.238614801
Hobsons Bay (C),53113,29142,1.822558507
Horsham (RC),14398,7017,2.05187402
Hume (C),114525,55393,2.067499504
Indigo (S),12292,5577,2.204052358
Kingston (C) (Vic.),95116,51050,1.863192948
Knox (C),105343,50481,2.086785127
Latrobe (C) (Vic.),48376,25018,1.933647774
Loddon (S),6462,2719,2.376609047
Macedon Ranges (S),33631,14989,2.243712056
Manningham (C),78418,37667,2.081875382
Mansfield (S),6278,3034,2.069215557
Maribyrnong (C),41679,25409,1.640324295
Maroondah (C),72765,37126,1.959947207
Melbourne (C),39167,29138,1.344189718
Melton (C),81524,39087,2.085706245
Migratory - Offshore - Shipping (Vic.),0,0,#DIV/0!
Mildura (RC),35543,17814,1.995228472
Mitchell (S),27926,12773,2.186330541
Moira (S),20724,9916,2.089955627
Monash (C),106447,56252,1.892323828
Moonee Valley (C),68794,37874,1.816391192
Moorabool (S),23442,10430,2.247555129
Moreland (C),85388,51122,1.670278941
Mornington Peninsula (S),106356,53848,1.975115139
Mount Alexander (S),13394,6785,1.974060427
Moyne (S),12745,5565,2.290206649
Murrindindi (S),10663,4902,2.175234598
Nillumbik (S),45101,19106,2.360567361
Northern Grampians (S),8501,4206,2.021160247
Port Phillip (C),53293,36206,1.471938353
Pyrenees (S),5727,2535,2.259171598
Queenscliffe (B),1871,1109,1.6871055
South Gippsland (S),21247,10169,2.08938932
Southern Grampians (S),12204,5775,2.113246753
Stonnington (C),58381,35585,1.640606997
Strathbogie (S),7875,3870,2.034883721
Surf Coast (S),20404,9830,2.075686673
Swan Hill (RC),13358,6451,2.070686715
Towong (S),4710,2176,2.164522059
Unincorporated Vic,482,334,1.443113772
Wangaratta (RC),20027,9964,2.009935769
Warrnambool (C),21464,11457,1.873439818
Wellington (S),30620,14828,2.065012139
West Wimmera (S),3573,1489,2.399597045
Whitehorse (C),95880,52444,1.828235833
Whittlesea (C),119068,59027,2.017178579
Wodonga (C),25222,13124,1.921822615
Wyndham (C),122695,62984,1.948034421
Yarra (C),40507,27753,1.459553922
Yarra Ranges (S),108343,49103,2.206443598
Yarriambiack (S),5175,2428,2.131383855
